2009-10-19 05:06:45 install libattr1 <none> 1:2.4.43-1
2009-10-19 05:06:45 status half-installed libattr1 1:2.4.43-1
2009-10-19 05:06:45 status unpacked libattr1 1:2.4.43-1
2009-10-19 05:06:45 status unpacked libattr1 1:2.4.43-1
2009-10-19 05:06:45 install libblkid1 <none> 1.41.4-1ubuntu1
2009-10-19 05:06:45 status half-installed libblkid1 1.41.4-1ubuntu1
2009-10-19 05:06:45 status unpacked libblkid1 1.41.4-1ubuntu1
2009-10-19 05:06:45 status unpacked libblkid1 1.41.4-1ubuntu1
2009-10-19 05:06:45 upgrade libc6 2.9-4ubuntu6 2.9-4ubuntu6
2009-10-19 05:06:45 status half-configured libc6 2.9-4ubuntu6
2009-10-19 05:06:45 status unpacked libc6 2.9-4ubuntu6
2009-10-19 05:06:45 status half-installed libc6 2.9-4ubuntu6
2009-10-19 05:06:47 status half-installed libc6 2.9-4ubuntu6
2009-10-19 05:06:48 status unpacked libc6 2.9-4ubuntu6
2009-10-19 05:06:48 status unpacked libc6 2.9-4ubuntu6
2009-10-19 05:06:48 install libcomerr2 <none> 1.41.4-1ubuntu1
2009-10-19 05:06:48 status half-installed libcomerr2 1.41.4-1ubuntu1
2009-10-19 05:06:48 status unpacked libcomerr2 1.41.4-1ubuntu1
2009-10-19 05:06:48 status unpacked libcomerr2 1.41.4-1ubuntu1
2009-10-19 05:06:48 install libdb4.7 <none> 4.7.25-6ubuntu1
2009-10-19 05:06:48 status half-installed libdb4.7 4.7.25-6ubuntu1
2009-10-19 05:06:48 status unpacked libdb4.7 4.7.25-6ubuntu1
2009-10-19 05:06:48 status unpacked libdb4.7 4.7.25-6ubuntu1
2009-10-19 05:06:48 install libgcc1 <none> 1:4.3.3-5ubuntu4
2009-10-19 05:06:48 status half-installed libgcc1 1:4.3.3-5ubuntu4
2009-10-19 05:06:48 status unpacked libgcc1 1:4.3.3-5ubuntu4
2009-10-19 05:06:48 status unpacked libgcc1 1:4.3.3-5ubuntu4
2009-10-19 05:06:48 install liblocale-gettext-perl <none> 1.05-4build1
2009-10-19 05:06:48 status half-installed liblocale-gettext-perl 1.05-4build1
2009-10-19 05:06:48 status unpacked liblocale-gettext-perl 1.05-4build1
2009-10-19 05:06:48 status unpacked liblocale-gettext-perl 1.05-4build1
2009-10-19 05:06:48 install libncurses5 <none> 5.7+20090207-1ubuntu1
2009-10-19 05:06:48 status half-installed libncurses5 5.7+20090207-1ubuntu1
2009-10-19 05:06:49 status unpacked libncurses5 5.7+20090207-1ubuntu1
2009-10-19 05:06:49 status unpacked libncurses5 5.7+20090207-1ubuntu1
2009-10-19 05:06:49 install libpam-modules <none> 1.0.1-9ubuntu1
2009-10-19 05:06:49 status half-installed libpam-modules 1.0.1-9ubuntu1
2009-10-19 05:06:50 status unpacked libpam-modules 1.0.1-9ubuntu1
2009-10-19 05:06:50 status unpacked libpam-modules 1.0.1-9ubuntu1
2009-10-19 05:06:50 install libpam-runtime <none> 1.0.1-9ubuntu1
2009-10-19 05:06:50 status half-installed libpam-runtime 1.0.1-9ubuntu1
2009-10-19 05:06:50 status unpacked libpam-runtime 1.0.1-9ubuntu1
2009-10-19 05:06:50 status unpacked libpam-runtime 1.0.1-9ubuntu1
2009-10-19 05:06:50 install libpam0g <none> 1.0.1-9ubuntu1
2009-10-19 05:06:50 status half-installed libpam0g 1.0.1-9ubuntu1
2009-10-19 05:06:50 status unpacked libpam0g 1.0.1-9ubuntu1
2009-10-19 05:06:50 status unpacked libpam0g 1.0.1-9ubuntu1
2009-10-19 05:06:50 install libpcre3 <none> 7.8-2ubuntu1
2009-10-19 05:06:50 status half-installed libpcre3 7.8-2ubuntu1
2009-10-19 05:06:50 status unpacked libpcre3 7.8-2ubuntu1
2009-10-19 05:06:50 status unpacked libpcre3 7.8-2ubuntu1
2009-10-19 05:06:50 install libselinux1 <none> 2.0.65-5build1
2009-10-19 05:06:50 status half-installed libselinux1 2.0.65-5build1
2009-10-19 05:06:50 status unpacked libselinux1 2.0.65-5build1
2009-10-19 05:06:50 status unpacked libselinux1 2.0.65-5build1
2009-10-19 05:06:50 install libsepol1 <none> 2.0.30-2ubuntu1
2009-10-19 05:06:50 status half-installed libsepol1 2.0.30-2ubuntu1
2009-10-19 05:06:50 status unpacked libsepol1 2.0.30-2ubuntu1
2009-10-19 05:06:51 status unpacked libsepol1 2.0.30-2ubuntu1
2009-10-19 05:06:51 install libslang2 <none> 2.1.3-3ubuntu3
2009-10-19 05:06:51 status half-installed libslang2 2.1.3-3ubuntu3
2009-10-19 05:06:51 status unpacked libslang2 2.1.3-3ubuntu3
2009-10-19 05:06:51 status unpacked libslang2 2.1.3-3ubuntu3
2009-10-19 05:06:51 install libss2 <none> 1.41.4-1ubuntu1
2009-10-19 05:06:51 status half-installed libss2 1.41.4-1ubuntu1
2009-10-19 05:06:51 status unpacked libss2 1.41.4-1ubuntu1
2009-10-19 05:06:51 status unpacked libss2 1.41.4-1ubuntu1
2009-10-19 05:06:51 install libstdc++6 <none> 4.3.3-5ubuntu4
2009-10-19 05:06:51 status half-installed libstdc++6 4.3.3-5ubuntu4
2009-10-19 05:06:51 status unpacked libstdc++6 4.3.3-5ubuntu4
2009-10-19 05:06:51 status unpacked libstdc++6 4.3.3-5ubuntu4
2009-10-19 05:06:51 install libtext-charwidth-perl <none> 0.04-5build1
2009-10-19 05:06:51 status half-installed libtext-charwidth-perl 0.04-5build1
2009-10-19 05:06:51 status unpacked libtext-charwidth-perl 0.04-5build1
2009-10-19 05:06:51 status unpacked libtext-charwidth-perl 0.04-5build1
2009-10-19 05:06:51 install libtext-iconv-perl <none> 1.7-1build1
2009-10-19 05:06:51 status half-installed libtext-iconv-perl 1.7-1build1
2009-10-19 05:06:51 status unpacked libtext-iconv-perl 1.7-1build1
2009-10-19 05:06:51 status unpacked libtext-iconv-perl 1.7-1build1
2009-10-19 05:06:51 install libtext-wrapi18n-perl <none> 0.06-6
2009-10-19 05:06:51 status half-installed libtext-wrapi18n-perl 0.06-6
2009-10-19 05:06:52 status unpacked libtext-wrapi18n-perl 0.06-6
2009-10-19 05:06:52 status unpacked libtext-wrapi18n-perl 0.06-6
2009-10-19 05:06:52 install libuuid1 <none> 1.41.4-1ubuntu1
2009-10-19 05:06:52 status half-installed libuuid1 1.41.4-1ubuntu1
2009-10-19 05:06:52 status unpacked libuuid1 1.41.4-1ubuntu1
2009-10-19 05:06:52 status unpacked libuuid1 1.41.4-1ubuntu1
2009-10-19 05:06:52 install libvolume-id1 <none> 141-1
